央视,#genre#
SiTV欢笑剧场,http://192.168.25.3:50101/TVOD/2000000002000000016/hnbblive/index.m3u8$3.5M1080_湖南bblive
SiTV金色学堂,http://192.168.25.3:50101/TVOD/2000000002000000061/hnbblive/index.m3u8$7M1080_湖南bblive
SiTV劲爆体育,http://192.168.25.3:50101/TVOD/2000000002000000008/hnbblive/index.m3u8$1.2M540_湖南bblive
SiTV乐游,http://192.168.25.3:50101/TVOD/2000000002000000092/hnbblive/index.m3u8$7M1080_湖南bblive
SiTV乐游,http://192.168.25.3:50101/TVOD/2000000002000000059/hnbblive/index.m3u8$1.2M576_湖南bblive
SiTV魅力足球,http://192.168.25.3:50101/TVOD/2000000002000000068/hnbblive/index.m3u8$7M1080_湖南bblive
SiTV生活时尚,http://192.168.25.3:50101/TVOD/2000000002000000006/hnbblive/index.m3u8$2.5M720_湖南bblive
SiTV游戏风云,http://192.168.25.3:50101/TVOD/2000000002000000011/hnbblive/index.m3u8$2.5M576_湖南bblive

iHOT,#genre#

爱谍战,http://192.168.25.3:50101/TVOD/6000000006000070630/wasusyt/index.m3u8$7.2M1080_华数
爱谍战,http://192.168.25.3:50101/TVOD/2000000004000000038/hnbblive/index.m3u8$6.8M1080_湖南bblive
爱动漫,http://192.168.25.3:50101/TVOD/6000000006000280630/wasusyt/index.m3u8$7.2M1080_华数
爱动漫,http://192.168.25.3:50101/TVOD/2000000004000000059/hnbblive/index.m3u8$6.8M1080_湖南bblive
爱科幻,http://192.168.25.3:50101/TVOD/6000000006000020630/wasusyt/index.m3u8$7.2M1080_华数
爱科幻,http://192.168.25.3:50101/TVOD/2000000004000000033/hnbblive/index.m3u8$6.8M1080_湖南bblive
爱科学,http://192.168.25.3:50101/TVOD/6000000006000160630/wasusyt/index.m3u8$7.2M1080_华数
爱科学,http://192.168.25.3:50101/TVOD/2000000004000000047/hnbblive/index.m3u8$6.8M1080_湖南bblive
爱浪漫,http://192.168.25.3:50101/TVOD/6000000006000040630/wasusyt/index.m3u8$7.2M1080_华数
爱浪漫,http://192.168.25.3:50101/TVOD/2000000004000000035/hnbblive/index.m3u8$6.8M1080_湖南bblive
爱历史,http://192.168.25.3:50101/TVOD/6000000006000150630/wasusyt/index.m3u8$7.2M1080_华数
爱历史,http://192.168.25.3:50101/TVOD/2000000004000000046/hnbblive/index.m3u8$6.8M1080_湖南bblive
爱旅行,http://192.168.25.3:50101/TVOD/6000000006000250630/wasusyt/index.m3u8$7.2M1080_华数
爱旅行,http://192.168.25.3:50101/TVOD/2000000004000000056/hnbblive/index.m3u8$6.8M1080_湖南bblive
爱奇谈,http://192.168.25.3:50101/TVOD/6000000006000270630/wasusyt/index.m3u8$7.2M1080_华数
爱奇谈,http://192.168.25.3:50101/TVOD/2000000004000000058/hnbblive/index.m3u8$6.8M1080_湖南bblive
爱赛车,http://192.168.25.3:50101/TVOD/6000000006000240630/wasusyt/index.m3u8$7.2M1080_华数
爱赛车,http://192.168.25.3:50101/TVOD/2000000004000000055/hnbblive/index.m3u8$6.8M1080_湖南bblive
爱体育,http://192.168.25.3:50101/TVOD/6000000006000290630/wasusyt/index.m3u8$7.2M1080_华数
爱体育,http://192.168.25.3:50101/TVOD/2000000004000000060/hnbblive/index.m3u8$6.8M1080_湖南bblive
爱玩具,http://192.168.25.3:50101/TVOD/6000000006000220630/wasusyt/index.m3u8$7.2M1080_华数
爱玩具,http://192.168.25.3:50101/TVOD/2000000004000000053/hnbblive/index.m3u8$6.8M1080_湖南bblive
爱喜剧,http://192.168.25.3:50101/TVOD/6000000006000010630/wasusyt/index.m3u8$7.2M1080_华数
爱喜剧,http://192.168.25.3:50101/TVOD/2000000004000000032/hnbblive/index.m3u8$6.8M1080_湖南bblive
爱悬疑,http://192.168.25.3:50101/TVOD/6000000006000050630/wasusyt/index.m3u8$7.2M1080_华数
爱悬疑,http://192.168.25.3:50101/TVOD/2000000004000000036/hnbblive/index.m3u8$6.8M1080_湖南bblive
爱幼教,http://192.168.25.3:50101/TVOD/6000000006000180630/wasusyt/index.m3u8$7.2M1080_华数
爱幼教,http://192.168.25.3:50101/TVOD/2000000004000000049/hnbblive/index.m3u8$6.8M1080_湖南bblive
爱院线,http://192.168.25.3:50101/TVOD/6000000006000030630/wasusyt/index.m3u8$7.2M1080_华数
爱院线,http://192.168.25.3:50101/TVOD/2000000004000000034/hnbblive/index.m3u8$6.8M1080_湖南bblive

百视通,#genre#

百视通,http://192.168.25.3:50101/TVOD/2000000002000000050/hnbblive/index.m3u8$2.5M720_湖南bblive
百视通,http://192.168.25.3:50101/TVOD/2000000002000000052/hnbblive/index.m3u8$2.5M720_湖南bblive
百视通,http://192.168.25.3:50101/TVOD/2000000002000000024/hnbblive/index.m3u8$1.2M576_湖南bblive
百视通,http://192.168.25.3:50101/TVOD/2000000002000000025/hnbblive/index.m3u8$1.2M576_湖南bblive
百视通,http://192.168.25.3:50101/TVOD/2000000002000000026/hnbblive/index.m3u8$1.2M576_湖南bblive
百视通,http://192.168.25.3:50101/TVOD/2000000002000000027/hnbblive/index.m3u8$1.2M576_湖南bblive
百视通,http://192.168.25.3:50101/TVOD/2000000002000000028/hnbblive/index.m3u8$1.2M576_湖南bblive
百视通,http://192.168.25.3:50101/TVOD/2000000002000000029/hnbblive/index.m3u8$1.2M576_湖南bblive
百视通,http://192.168.25.3:50101/TVOD/2000000002000000030/hnbblive/index.m3u8$1.2M576_湖南bblive
百视通,http://192.168.25.3:50101/TVOD/2000000002000000049/hnbblive/index.m3u8$1.2M576_湖南bblive
百视通,http://192.168.25.3:50101/TVOD/2000000002000000051/hnbblive/index.m3u8$1.2M576_湖南bblive

咪咕,#genre#

咪咕全民热练,http://192.168.25.3:50101/TVOD/2000000003000000068/hnbblive/index.m3u8$8M1080_湖南bblive
咪咕视频,http://192.168.25.3:50101/TVOD/2000000003000000060/hnbblive/index.m3u8$8M1080_湖南bblive
咪咕视频,http://192.168.25.3:50101/TVOD/2000000003000000061/hnbblive/index.m3u8$8M1080_湖南bblive
咪咕视频,http://192.168.25.3:50101/TVOD/2000000003000000062/hnbblive/index.m3u8$8M1080_湖南bblive
咪咕视频,http://192.168.25.3:50101/TVOD/2000000003000000063/hnbblive/index.m3u8$8M1080_湖南bblive
咪咕视频,http://192.168.25.3:50101/TVOD/2000000003000000064/hnbblive/index.m3u8$8M1080_湖南bblive
咪咕视频,http://192.168.25.3:50101/TVOD/2000000003000000065/hnbblive/index.m3u8$8M1080_湖南bblive

求索,#genre#

求索动物,http://192.168.25.3:50101/TVOD/6000000002000010046/wasusyt/index.m3u8$8M1080_华数
求索动物,http://192.168.25.3:50101/TVOD/2000000004000000009/hnbblive/index.m3u8$7.5M1080_湖南bblive
求索纪录,http://192.168.25.3:50101/TVOD/6000000002000032052/wasusyt/index.m3u8$8M1080_华数
求索纪录,http://192.168.25.3:50101/TVOD/2000000004000000010/hnbblive/index.m3u8$7.5M1080_湖南bblive
求索科学,http://192.168.25.3:50101/TVOD/6000000002000032344/wasusyt/index.m3u8$8M1080_华数
求索科学,http://192.168.25.3:50101/TVOD/2000000004000000011/hnbblive/index.m3u8$7.5M1080_湖南bblive
求索生活,http://192.168.25.3:50101/TVOD/6000000002000003382/wasusyt/index.m3u8$8M1080_华数
求索生活,http://192.168.25.3:50101/TVOD/2000000004000000008/hnbblive/index.m3u8$7.5M1080_湖南bblive

电竞,#genre#

哒啵电竞,http://192.168.25.3:50101/TVOD/2000000003000000066/hnbblive/index.m3u8$4M1080_湖南bblive
哒啵赛事,http://192.168.25.3:50101/TVOD/2000000003000000004/hnbblive/index.m3u8$4M1080_湖南bblive
哒啵赛事,http://192.168.25.3:50101/TVOD/2000000003000000039/hnbblive/index.m3u8$4M1080_湖南bblive
哒啵赛事,http://192.168.25.3:50101/TVOD/2000000003000000040/hnbblive/index.m3u8$4M1080_湖南bblive
电子竞技,http://192.168.25.3:50101/TVOD/2000000004000000015/hnbblive/index.m3u8$2.5M720_湖南bblive
电子竞技,http://192.168.25.3:50101/TVOD/6000000003000011654/wasusyt/index.m3u8$2.5M720_华数

动画,#genre#

炫动3D,http://192.168.25.3:50101/TVOD/2000000004000000012/hnbblive/index.m3u8$2.5M720_湖南bblive
炫动3D,http://192.168.25.3:50101/TVOD/6000000003000000558/wasusyt/index.m3u8$2.5M720_华数
少儿动漫,http://192.168.25.3:50101/TVOD/2000000004000000003/hnbblive/index.m3u8$2.5M720_湖南bblive
少儿动漫,http://192.168.25.3:50101/TVOD/8145334647720731271/wasusyt/index.m3u8$2.5M720_华数
黑莓动画,http://192.168.25.3:50101/TVOD/2000000003000000002/hnbblive/index.m3u8$4M1080_湖南bblive
萌宠TV,http://192.168.25.3:35455/bptv/10000100000000050000000003887495.m3u8
广东嘉佳卡通,http://192.168.25.3:50101/TVOD/6000000003000025508/wasusyt/index.m3u8$1.8M576_华数
北京卡酷少儿,http://192.168.25.3:50101/TVOD/6000000003000002709/wasusyt/index.m3u8$1.8M576_华数
江苏优漫卡通,http://192.168.25.3:50101/TVOD/6000000003000030492/wasusyt/index.m3u8$1.8M576_华数
湖南金鹰卡通,http://192.168.25.3:50101/TVOD/6000000003000016791/wasusyt/index.m3u8$1.8M576_华数

4K,#genre#

华数4K,http://192.168.25.3:50101/TVOD/6000000003000004748/wasusyt/index.m3u8$16M2160_华数
华数4K,http://192.168.25.3:50101/TVOD/2000000004000000014/hnbblive/index.m3u8$15M2160_湖南bblive
Love Nature 4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
Loupe 4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8

其他,#genre#

探索纪录,http://192.168.25.3:50101/TVOD/2000000004000000007/hnbblive/index.m3u8$2.5M720_湖南bblive
